d s a   m_i     
1 1 0	 1
2 1 0	 1
3 2 1	 1 3
4 2 1	 1 3
5 9 152	 1 1 5 1 5 19 65 1 171
6 9 218	 1 1 5 1 11 33 41 65 253
7 8 70	 1 1 5 9 13 23 17 119
8 9 22	 1 1 5 9 17 29 43 17 141
9 9 59	 1 3 5 7 13 33 59 65 215
10 8 97	 1 1 1 7 17 9 65 105
11 10 194	 1 1 1 1 17 3 41 55 133 125
12 7 21	 1 3 5 3 17 11 19
13 10 227	 1 3 5 3 15 33 41 67 131 207
14 9 234	 1 1 1 9 13 3 55 103 257
15 6 13	 1 3 5 3 17 1
16 10 295	 1 1 5 7 9 33 31 99 247 411
17 10 398	 1 1 5 9 15 29 19 129 127 201
18 7 59	 1 3 5 5 17 19 27
19 6 25	 1 3 3 9 13 5
20 10 266	 1 3 1 7 5 29 65 53 133 113
21 10 107	 1 1 1 9 15 7 13 37 119 363
22 7 42	 1 3 5 5 9 11 15
23 7 62	 1 1 5 3 9 33 23
24 10 457	 1 3 1 5 17 29 25 79 109 461
25 7 50	 1 1 1 7 17 31 19
26 6 22	 1 1 1 7 17 19
27 8 67	 1 1 5 1 11 25 25 129
28 10 4	 1 1 1 7 17 15 25 23 35 317
29 10 171	 1 1 3 9 17 7 7 53 35 271
30 9 244	 1 1 3 9 17 15 13 27 187
31 10 301	 1 3 1 9 13 9 29 123 145 111
32 7 4	 1 3 5 1 17 3 11
33 9 157	 1 3 3 9 17 25 47 61 55
34 7 8	 1 3 1 1 5 33 63
35 9 167	 1 3 1 3 11 27 27 29 247
36 9 194	 1 3 5 7 5 21 21 7 253
37 8 103	 1 3 1 9 5 25 15 123
38 5 2	 1 1 5 7 7
39 10 251	 1 3 1 5 17 29 37 101 53 377
40 8 14	 1 3 5 1 7 13 35 121
41 10 199	 1 3 5 7 11 25 45 23 181 225
42 9 138	 1 3 5 3 17 31 41 11 183
43 8 122	 1 1 5 9 9 19 25 55
44 9 137	 1 1 5 9 13 3 51 105 43
45 7 7	 1 3 3 3 5 19 55
46 9 185	 1 3 3 3 9 3 41 51 161
47 9 229	 1 1 3 7 17 33 31 7 85
48 9 44	 1 3 3 5 13 7 31 9 245
49 9 13	 1 1 1 9 1 15 35 97 155
50 9 122	 1 1 3 9 13 7 57 69 255
51 9 55	 1 3 1 1 13 5 13 15 97
52 10 55	 1 1 3 5 3 5 65 117 189 11
53 9 25	 1 3 5 1 1 3 21 43 91
54 9 82	 1 3 5 5 13 3 31 51 49
55 10 422	 1 1 3 1 7 27 47 103 65 313
56 9 67	 1 3 1 5 17 31 35 73 79
57 9 145	 1 1 5 5 5 17 63 45 93
58 9 74	 1 3 5 1 13 5 33 91 219
59 10 121	 1 3 1 7 1 11 5 69 147 273
60 10 181	 1 3 5 3 17 15 33 31 157 123
61 3 1	 1 3 1
62 10 19	 1 3 3 7 5 3 43 121 35 335
63 10 367	 1 1 5 1 17 23 57 107 175 63
64 10 316	 1 3 1 5 17 31 21 43 193 243
65 10 400	 1 1 3 9 3 15 23 119 193 19
66 8 49	 1 1 5 3 9 15 7 115
67 9 52	 1 1 5 1 11 9 65 125 213
68 9 109	 1 3 3 9 13 13 53 95 55
69 9 176	 1 3 1 3 1 5 19 77 183
70 10 324	 1 3 3 7 1 15 43 121 175 509
71 9 103	 1 3 3 7 3 5 29 25 25
72 10 472	 1 1 1 1 15 25 41 125 59 187
73 8 22	 1 1 3 9 15 17 9 31
74 9 253	 1 1 1 1 9 13 15 93 125
75 10 472	 1 1 5 3 7 21 9 21 17 451
76 10 454	 1 3 5 5 17 7 21 35 199 231
77 10 508	 1 3 1 3 17 5 35 41 179 453
78 7 19	 1 3 1 5 7 15 13
79 10 13	 1 1 5 7 7 5 23 61 53 85
80 5 11	 1 1 1 7 3
81 10 208	 1 3 5 9 9 3 5 113 247 351
82 10 64	 1 1 1 5 9 1 59 127 243 37
83 10 22	 1 1 5 7 5 9 23 49 253 103
84 10 134	 1 3 1 7 13 29 29 97 161 3
85 7 1	 1 1 3 7 5 1 11
86 9 62	 1 1 3 7 17 21 51 13 5
87 10 242	 1 3 3 1 15 13 37 19 99 409
88 7 14	 1 3 1 9 1 3 27
89 4 4	 1 3 1 7
90 6 1	 1 1 1 5 3 17
91 9 199	 1 3 3 1 17 11 55 31 97
92 10 115	 1 3 5 7 3 5 3 19 249 15
93 9 124	 1 3 5 5 13 33 37 129 99
94 10 493	 1 1 1 7 11 33 51 27 95 441
95 5 13	 1 1 1 3 5
96 8 21	 1 3 5 3 7 3 35 93
97 8 56	 1 1 5 9 11 31 11 43
98 10 127	 1 1 3 1 17 3 47 7 11 143
99 10 253	 1 1 1 1 13 3 33 105 45 235
100 3 2	 1 1 1
101 4 1	 1 1 3 3
102 5 4	 1 1 5 5 5
103 5 7	 1 1 7 11 19
104 5 14	 1 3 5 5 31
105 6 16	 1 3 1 13 27 49
106 6 19	 1 1 1 15 7 5
107 7 28	 1 3 5 3 3 13 69
108 7 31	 1 1 7 13 1 19 1
109 7 32	 1 3 7 5 13 19 59
110 7 37	 1 1 3 9 25 29 41
111 7 41	 1 3 5 13 23 1 55
112 7 55	 1 1 5 5 23 33 13
113 7 56	 1 1 7 7 1 61 123
114 8 38	 1 3 1 11 27 43 71 9
115 8 47	 1 1 7 15 21 11 81 45
116 8 50	 1 3 1 1 19 11 3 205
117 8 52	 1 1 5 9 19 21 29 157
118 8 84	 1 1 3 1 11 31 97 225
119 8 115	 1 3 1 5 27 63 123 213
120 9 8	 1 3 5 5 29 17 47 173 479
121 9 16	 1 1 1 5 17 39 23 5 343
122 9 47	 1 1 5 15 19 45 41 7 383
123 9 81	 1 1 5 5 17 13 81 3 131
124 9 87	 1 3 5 1 9 43 3 149 11
125 9 91	 1 1 3 13 31 13 13 255 487
126 9 94	 1 3 3 1 5 63 89 91 127
127 9 104	 1 1 5 7 23 31 37 243 289
128 9 143	 1 3 5 3 27 61 105 171 305
129 9 173	 1 3 5 9 11 49 51 59 115
130 9 181	 1 1 3 5 23 5 105 109 75
131 9 182	 1 1 7 15 7 11 67 121 453
132 9 191	 1 3 1 15 19 39 39 89 15
